branch,workflow_event_trigger,issuer_name,workflow_id,build_duration,total_builds,gh_files_added,gh_files_deleted,gh_files_modified,tests_ran,gh_lines_added,gh_lines_deleted,gh_tests_added,gh_tests_deleted,gh_test_churn,gh_src_churn,gh_is_pr,gh_sloc,gh_description_complexity,gh_src_files,gh_doc_files,gh_other_files,git_num_committers,git_commits,total_jobs,gh_team_size_last_3_month,gh_commits_on_files_touched,gh_num_pr_comments,gh_test_lines_per_kloc,dependencies_count,workflow_size,dockerfile_changed,docker_compose_changed,hour,dow,month,secs_since_prev,duration_lag_1,duration_lag_2,duration_lag_3,duration_lag_4,duration_lag_5,duration_lag_6,duration_lag_7,window_avg_7,window_std_7,window_avg_3,window_std_3,window_avg_4,window_std_4,ft___1_,ft___1__,ft___7_,ft___LESSER_,ft___acr_,ft___bat_,ft___bat__,ft___build_,ft___build__,ft___c_,ft___c__,ft___c_e_,ft___cfg_,ft___css__,ft___c____dup1,ft___h_,ft___h__,ft___h____dup1,ft___in_,ft___js_,ft___json_,ft___md_,ft___md__,ft___mk_,ft___mk__,ft___opc_,ft___patch_,ft___py_,ft___r_,ft___sh_,ft___sh__,ft___spec__,ft___tail_,ft___toml_,ft___toml__,ft___txt_,ft___txt__,ft___wrap_,ft___yml_,ft___yml__,ft____1_,ft____1__,ft____7_,ft____7__,ft____acr_,ft____acr__,ft____bat_,ft____bat__,ft____build_,ft____build__,ft____c_,ft____c__,ft____c_e_,ft____c64x_32_,ft____c64x_32__,ft____cfg_,ft____cfg__,ft____c____dup1,ft____err_,ft____fun_,ft____h_,ft____h__,ft____h____dup1,ft____inc_,ft____js_,ft____js__,ft____json_,ft____md_,ft____md__,ft____md____dup1,ft____mk_,ft____mk__,ft____patch_,ft____pl__,ft____preerr_,ft____py_,ft____py__,ft____qjs_,ft____r2_,ft____r2__,ft____r2____dup1,ft____rb__,ft____sed_,ft____sh_,ft____sh__,ft____spec_,ft____spec__,ft____tail_,ft____tips_,ft____txt_,ft____txt__,ft____txt____dup1,ft____woff_,ft____wrap_,ft____wrap__,ft____yml_,ft____yml__,ft___
2,0,45,1989843,1013.0,1514,12,0,11,True,4226,0,27,0,27,4226,False,1066964,0,10,1,10,1266,32258,16,15,10,0,335.51928649888845,0,393.0,0,0,9,2,7,10140.0,1003.0,1176.0,3013.0,990.0,966.0,2833.0,22066.0,4578.142857142857,7763.149176903478,1730.6666666666667,1113.8969132434713,1545.5,982.0001697216418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,45,1989843,997.0,1513,12,0,11,True,4226,0,27,0,27,4226,False,1066964,0,10,1,10,1266,32258,16,15,10,0,335.51928649888845,0,393.0,0,0,9,2,7,607.0,1013.0,1003.0,1176.0,3013.0,990.0,966.0,2833.0,1570.5714285714287,927.8654459102817,1064.0,97.12363255150623,1551.25,977.7212878252507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,45,1989843,970.0,1512,12,0,11,True,4225,0,27,0,27,4225,True,1066963,88,10,1,10,1266,32258,16,15,10,0,335.5196009608581,0,393.0,0,0,10,2,7,4757.0,997.0,1013.0,1003.0,1176.0,3013.0,990.0,966.0,1308.2857142857142,754.9069952176701,1004.3333333333334,8.082903768654761,1047.25,86.08668112238192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,50,1989843,3096.0,1511,12,0,11,True,4225,0,27,0,27,4225,True,1066968,88,10,1,10,1267,32260,16,17,10,0,335.51802865690445,0,393.0,0,0,10,2,7,427.0,970.0,997.0,1013.0,1003.0,1176.0,3013.0,990.0,1308.857142857143,754.6061729077468,993.3333333333334,21.73323108360405,995.75,18.39157415774952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,50,1989843,1171.0,1507,0,0,1,True,1,1,1,1,2,2,False,1066998,0,0,0,0,1267,32264,16,17,1,0,335.4907881739235,0,393.0,0,0,9,3,8,82433.0,3096.0,970.0,997.0,1013.0,1003.0,1176.0,3013.0,1609.7142857142858,989.54429146042,1687.6666666666667,1219.7271552824152,1519.0,1051.4830795912346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2,0,50,1989843,1458.0,1506,0,0,15,True,81,68,45,64,109,149,True,1066998,91,6,0,0,1267,32261,16,17,25,0,335.4907881739235,0,393.0,0,0,9,3,8,19.0,1171.0,3096.0,970.0,997.0,1013.0,1003.0,1176.0,1346.5714285714287,776.0732046963218,1745.6666666666667,1173.7335018364831,1558.5,1028.8629646362047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,50,1989843,2496.0,1505,0,0,15,True,81,68,45,64,109,149,True,1066998,91,6,0,0,1267,32261,16,17,25,0,335.4907881739235,0,393.0,0,0,10,3,8,1576.0,1458.0,1171.0,3096.0,970.0,997.0,1013.0,1003.0,1386.857142857143,773.0565801999724,1908.3333333333333,1038.5115951848265,1673.75,969.0828567946775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,41,1989843,783.0,1504,0,0,87,True,237,194,0,0,0,431,False,1067041,0,87,0,0,1268,32271,16,18,7,0,335.4772684461047,0,393.0,0,0,11,3,8,4524.0,2496.0,1458.0,1171.0,3096.0,970.0,997.0,1013.0,1600.142857142857,851.4805592948925,1708.3333333333333,697.069819554206,2055.25,897.4086304465765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,50,1989843,791.0,1503,0,0,2,True,193,197,0,0,0,390,True,1066993,89,2,0,0,1267,32262,16,17,16,0,335.49236030601884,0,393.0,0,0,11,3,8,444.0,783.0,2496.0,1458.0,1171.0,3096.0,970.0,997.0,1567.2857142857142,881.8109612771727,1579.0,862.8864351697737,1477.0,733.483469479715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,41,1989843,972.0,1502,0,0,1,True,0,1,0,0,0,1,False,1067040,0,1,0,0,1268,32272,16,18,26,0,335.4775828460039,0,393.0,0,0,11,3,8,649.0,791.0,783.0,2496.0,1458.0,1171.0,3096.0,970.0,1537.857142857143,907.0901147022142,1356.6666666666667,986.699717914895,1382.0,807.2285921596186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,50,1989843,2463.0,1501,0,0,2,True,193,197,0,0,0,390,True,1066993,89,2,0,0,1267,32262,16,17,16,0,335.49236030601884,0,393.0,0,0,11,3,8,944.0,972.0,791.0,783.0,2496.0,1458.0,1171.0,3096.0,1538.142857142857,906.8817321958119,848.6666666666666,106.88467305153407,1260.5,828.2771275364303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,50,1989843,812.0,1500,0,0,2,True,22,0,0,0,0,22,True,1067015,86,2,0,0,1267,32263,16,17,16,0,335.48544303500887,0,393.0,0,0,21,3,8,34197.0,2463.0,972.0,791.0,783.0,2496.0,1458.0,1171.0,1447.7142857142858,742.2721231205607,1408.6666666666667,917.5534498509246,1252.25,811.8708333226413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,50,1989843,3002.0,1499,0,0,2,True,22,0,0,0,0,22,True,1067015,86,2,0,0,1267,32263,16,17,16,0,335.48544303500887,0,393.0,0,0,21,3,8,394.0,812.0,2463.0,972.0,791.0,783.0,2496.0,1458.0,1396.4285714285713,776.2041950292155,1415.6666666666667,910.5384853663976,1259.5,806.3946511065989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,50,1989843,1020.0,1497,0,0,6,True,9,9,0,0,0,18,False,1067040,0,6,0,0,1268,32273,16,18,60,0,335.4775828460039,0,393.0,0,0,22,3,8,2252.0,3002.0,812.0,2463.0,972.0,791.0,783.0,2496.0,1617.0,987.2912437573829,2092.3333333333335,1141.0829651402798,1812.25,1087.1216966528325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,50,1989843,792.0,1494,0,0,4,True,21,9,1,1,2,30,True,1067036,85,3,0,0,1267,32266,16,17,21,0,335.50508136557715,0,393.0,0,0,10,4,8,45645.0,1020.0,3002.0,812.0,2463.0,972.0,791.0,783.0,1406.142857142857,923.851255807526,1611.3333333333333,1208.8347005828932,1824.25,1074.9518981486256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,50,1989843,2472.0,1493,0,0,8,True,130,82,34,6,40,212,True,1067036,85,3,0,0,1267,32264,16,17,20,0,335.50508136557715,0,393.0,0,0,11,4,8,519.0,792.0,1020.0,3002.0,812.0,2463.0,972.0,791.0,1407.4285714285713,922.8452122183253,1604.6666666666667,1215.4839913932776,1406.5,1068.6507068885198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,50,1989843,2799.0,1492,1,0,0,True,32,0,0,0,0,32,False,1067067,0,1,0,0,1267,32265,16,17,1,0,335.4953344073053,0,393.0,0,0,19,4,8,29234.0,2472.0,792.0,1020.0,3002.0,812.0,2463.0,972.0,1647.5714285714287,953.8961958100853,1428.0,911.2891966878572,1821.5,1083.0517069835585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,41,1989843,1352.0,1491,0,0,10,True,14,53,0,0,0,67,True,1067071,89,10,0,0,1268,32278,16,18,38,8,335.49407677652187,0,393.0,0,0,19,4,8,166.0,2799.0,2472.0,792.0,1020.0,3002.0,812.0,2463.0,1908.5714285714287,987.5940220459784,2021.0,1076.830070159633,1770.75,1011.7026490031545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,41,1989843,978.0,1486,0,0,1,True,3,3,0,0,0,6,True,1067073,89,1,0,0,1268,32283,16,18,6,8,335.493447964666,0,393.0,0,0,22,4,8,10698.0,1352.0,2799.0,2472.0,792.0,1020.0,3002.0,812.0,1749.857142857143,972.8052954508125,2207.6666666666665,758.8519838106331,1853.75,940.7083767034287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,41,1989843,784.0,1485,0,0,2,True,13,3,10,0,10,16,True,1067080,89,1,0,0,1268,32284,16,18,2,8,335.50061851032723,0,393.0,0,0,10,5,8,45638.0,978.0,1352.0,2799.0,2472.0,792.0,1020.0,3002.0,1773.5714285714287,947.8354036334327,1709.6666666666667,961.7454618210232,1900.25,872.8827240815343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,41,1989843,975.0,1484,0,0,2,True,11,1,10,0,10,12,True,1067080,89,1,0,0,1268,32285,16,18,2,8,335.50061851032723,0,393.0,0,0,15,5,8,15133.0,784.0,978.0,1352.0,2799.0,2472.0,792.0,1020.0,1456.7142857142858,832.4439349060721,1038.0,288.71439174381317,1478.25,911.5102394743938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,41,1989843,1242.0,1483,0,0,1,True,1,1,0,0,0,2,True,1067080,89,1,0,0,1268,32286,16,18,6,8,335.50061851032723,0,393.0,0,0,15,5,8,38.0,975.0,784.0,978.0,1352.0,2799.0,2472.0,792.0,1450.2857142857142,836.5422313080821,912.3333333333334,111.15004873293277,1022.25,237.82959585944442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
